7197000003|395648
0000451965|312437
0000852218|154538
26-4599244|134968
13-6131491|118485
0000480228|111073
38-2750395|104548
0000504713|96004
76-0503625|89655
0000146672|86594
22-3039688|79730
0000617677|71104
0471809999|66095
75-2921540|65322
0000619877|63346
0002888798|59957
36-4327855|59868
26-0595342|59556
0000817824|57705
23-2769131|53725
7811300008|48157
7505400005|46594
43-1965151|45501
7257500009|44211
41-1795868|40340
01-0726495|37539
54-0259290|37326
0000233031|37223
75-2695327|34674
20-8921389|33898
20-8745846|33642
0000852320|32973
0000476810|31705
0000012311|29512
0542409990|28191
62-1532940|27864
2149009991|26196
75-3170028|26026
86-0860478|24622
68-0309242|23933
0000675332|23601
0004186591|23201
0000032489|22386
57-1175755|22190
7810600004|21995
33-0941669|21855
76-0236067|21834
7992700007|21387
0002712969|21308
0003303298|21001
7162800002|20985
37-1542226|20197
0000008663|19926
73-1577221|19139
0000656733|18915
0001189117|18605
33-0975529|18280
27-4023565|17910
80-0233937|17824
7056000000|17208
0000280110|16951
0002735146|16707
47-0912342|16702
02-0486480|16226
01-0464609|16006
54-1822116|15823
95-4866828|15756
26-0360466|15297
0000143662|15243
3827009995|15135
0000311845|14818
0000501105|14790
1635900004|14768
20-3702275|14762
0000339858|14591
91-1780488|14511
23-2470039|14498
54-1994393|14334
0000212465|14043
42-1554181|14030
86-0415227|13928
20-1832276|13107
0000032296|12956
74-2508160|12909
2317700005|12821
7527300003|12694
87-0623581|12630
0000497404|12613
05-0402708|12504
0000112837|12395
7635500004|12379
62-1859487|12362
26-0021318|12353
0000917742|12267
0004114567|12133
62-0997810|12109
0000915878|12063
6443809990|11960
39-2001010|11886
0000062514|11871
0000808176|11843
22-3554558|11676
84-1040263|11651
75-2838184|11612
0000012437|11182
41-1914032|11018
91-1374387|10995
0000023216|10896
20-5216358|10801
35-1616238|10639
0002590037|10569
0000722777|10568
0000606046|10552
22-3887207|10240
0000035095|10208
0000075633|10200
7516800003|10196
0000021440|10145
51-0517525|10043
32-0016270|9744
0000013303|9684
7442300004|9675
0000542649|9555
27-2389039|9521
1252000009|9446
20-8544905|9384
84-1594306|9354
37-1493496|9322
77-0605392|9279
86-0634557|9191
38-2699549|9176
74-3038404|9163
0000019581|9109
68-0151632|9109
0000379920|9107
0000804963|9059
54-2024584|9018
0000019222|8922
0000021122|8842
26-1773722|8800
43-1918759|8740
0000060269|8337
83-0310268|8170
0000023521|8142
27-1190043|8121
42-1739728|8117
48-1148159|8063
0000546571|7911
0000016450|7875
0000342634|7852
0000035014|7744
0000020504|7585
04-2992161|7523
30-0583815|7465
36-3987946|7463
0000004239|7336
7687600009|7287
0000697633|7263
0000491224|7254
41-2031753|7243
41-1941324|7229
0000527954|7228
0000023922|7211
27-0349391|7094
11-3412303|7064
46-3676810|7056
75-2857425|7011
34-2000096|6844
14-1770243|6824
95-3990375|6744
52-2091594|6742
0000708043|6723
0000019976|6697
0000013425|6675
36-4115595|6666
0000972590|6648
1746800001|6600
0000937898|6576
20-8083209|6470
26-0813134|6462
77-0158990|6456
33-0419992|6322
52-2102740|6297
38-2749215|6274
3027509990|6207
56-2237729|6196
0000008111|6191
0000276579|6172
0000694904|6147
26-0777326|6139
0000034953|6107
0002925666|6090
20-2928975|6008
62-1494087|5992
46-3435079|5972
0002489805|5880
0000208244|5861
20-0640473|5820
54-2070914|5765
62-1259997|5722
0000024694|5691
0000024692|5664
46-3689142|5649
0000008531|5591
01-0759540|5578
0000940311|5577
61-1306242|5511
0000025080|5497
59-3345547|5463
20-0378305|5428
0000703927|5424
0000177957|5391
7983500003|5385
83-0171636|5376
0000023279|5371
20-5973457|5361
7976700006|5359
1048900004|5357
0000288853|5341
34-1716542|5318
42-1720343|5242
0000659855|5204
20-2355296|5199
0003072606|5199
75-2725402|5195
3833009998|5191
0000030788|5171
20-2749403|5095
76-0561995|5061
45-5510883|5048
0000063194|5025
27-4370581|4950
26-2261031|4911
0000008120|4891
39-1767726|4872
0000723112|4842
7927200007|4769
0000663245|4754
26-3295749|4748
0000706051|4697
0000024671|4697
0000011065|4681
52-2337558|4675
0000024131|4651
0000067190|4650
0000636771|4641
46-2749358|4615
0003076248|4613
0000463735|4591
1611300007|4587
72-1441479|4581
0000002551|4570
41-1842999|4565
46-3528270|4542
86-1092244|4517
0000601050|4514
0000016889|4512
0000066751|4489
38-2434249|4451
20-2746596|4440
38-3564305|4439
0000066642|4398
48-1236121|4346
0000028178|4318
27-0222046|4307
84-0849361|4274
16-1686740|4261
0000613307|4253
26-0455770|4246
20-0192872|4235
04-2802284|4232
41-2259092|4197
0000664756|4180
84-1564935|4157
36-4176531|4147
0000012219|4042
0000706809|4027
20-8549934|4008
20-4866754|3990
77-0556943|3980
75-2269700|3980
73-1374559|3964
20-0353048|3914
26-2053389|3909
43-0710608|3894
0000004166|3852
7851800005|3852
42-1130287|3845
3804009998|3833
7929000008|3817
0000068490|3797
26-4030355|3786
04-3660901|3744
3028209994|3685
